date,state,epidemiological_week_2019,epidemiological_week_2020,deaths_indeterminate_2019,deaths_respiratory_failure_2019,deaths_others_2019,deaths_pneumonia_2019,deaths_septicemia_2019,deaths_sars_2019,deaths_covid19,deaths_indeterminate_2020,deaths_respiratory_failure_2020,deaths_others_2020,deaths_pneumonia_2020,deaths_septicemia_2020,deaths_sars_2020,deaths_total_2019,deaths_total_2020,new_deaths_indeterminate_2019,new_deaths_respiratory_failure_2019,new_deaths_others_2019,new_deaths_pneumonia_2019,new_deaths_septicemia_2019,new_deaths_sars_2019,new_deaths_covid19,new_deaths_indeterminate_2020,new_deaths_respiratory_failure_2020,new_deaths_others_2020,new_deaths_pneumonia_2020,new_deaths_septicemia_2020,new_deaths_sars_2020,new_deaths_total_2019,new_deaths_total_2020
08/12/2020,PA,50,50,178,2476,12532,4027,2669,35,5260,170,2671,13378,3803,2502,861,21917,28645,1,16,45,14,5,,5,,4,18,7,5,,81,39
08/12/2020,PB,50,50,132,2322,13378,4421,3494,24,2859,186,2112,13860,3342,3152,290,23771,25801,,4,51,13,7,,6,,6,34,5,6,,75,57
08/12/2020,PE,50,50,312,4559,29736,7625,12725,46,7034,599,3879,32373,5407,10469,4481,55003,64242,4,12,112,18,36,1,33,3,7,94,14,29,5,183,185
08/12/2020,PI,50,50,68,1726,6483,2360,1511,23,1554,58,1374,6289,1628,1170,80,12171,12153,1,3,27,6,2,,3,,3,9,,,,39,15
08/12/2020,PR,50,50,337,4771,35358,11702,8724,121,8175,414,4079,36091,8801,7885,328,61013,65773,,10,98,27,25,1,63,3,12,99,28,21,2,161,228
08/12/2020,RJ,50,50,360,9383,73081,24081,23395,98,24279,1803,9774,72868,21592,20228,1832,130398,152376,6,20,219,70,49,1,148,8,25,219,73,64,6,365,543
08/12/2020,RN,50,50,118,1013,7916,3273,2328,20,2092,93,1100,8308,2384,2092,228,14668,16297,,4,21,15,15,,6,,3,17,9,4,1,55,40
08/12/2020,RO,50,50,52,634,3969,1044,913,8,1297,30,567,4046,856,788,34,6620,7618,,,16,2,6,,6,,6,17,1,2,,24,32
08/12/2020,RR,50,50,3,126,1164,461,296,4,661,6,125,1231,304,255,16,2054,2598,,,3,,,,1,,,3,1,1,,3,6
08/12/2020,RS,50,50,526,6802,45000,14969,11517,82,7794,547,5944,44282,11436,10600,352,78896,80955,1,18,152,36,35,,65,1,13,123,33,27,1,242,263
